Symbol,'Market Cap',' Average Volume',' Previous Close',' Open',' Book Value',' Last Trade Price',' 200 Day Moving Average',' 50 Day Moving Average',' Change from 200 Day',' Change from 50 Day',' Earnings Share',' Estimate EPS Next Quarter',' Estimate EPS Next Year',' Next Year EPS Price Estimate',' Current Year Price EPS Estimate',' Day High',' Day Low',' Year High',' Year Low',' PEG Ratio',' PE Ratio',' Short Ratio'
WTI,0.000631,0.016376,0.011104,0.011568,0.143625,0.011244,0.017212,0.011661,0.336758,0.325291,0.641029,0.041249,0.0326,0.01282,0.01569,0.011602,0.011299,0.031388,0.009758,0.172881,0.009519,0.096019
WDR,0.005664,0.000041,0.092611,0.092535,0.155533,0.091149,0.088765,0.088115,0.379611,0.362231,0.689366,0.130435,0.116486,0.007488,0.009341,0.092154,0.09242,0.123616,0.083622,0.006717,0.002643,0.053864
WMT,0.37505,0.075618,0.160474,0.160334,0.239421,0.156723,0.144775,0.16659,0.431091,0.30973,0.705073,0.147157,0.136761,0.009171,0.01104,0.158442,0.15868,0.147226,0.147892,0.015049,0.003581,0.074941
DIS,0.238347,0.073899,0.18934,0.189132,0.247556,0.18886,0.163486,0.182271,0.508906,0.403918,0.700031,0.162765,0.141134,0.010185,0.013285,0.189255,0.189351,0.166785,0.155429,0.006717,0.004654,0.138173
WLT,0.000095,0.032565,0.001959,0.001994,0.140324,0.001887,0.004998,0.002105,0.354808,0.324138,0.53069,0,0,0.01282,0.01569,0.002002,0.001876,0.018354,0.001589,0.017322,0.009461,0.194379
WM,0.032897,0.013739,0.097685,0.097331,0.168287,0.096749,0.08739,0.099415,0.421066,0.333547,0.642232,0.110368,0.100981,0.011633,0.013941,0.096725,0.097634,0.08624,0.082176,0.021141,0.051345,0.149883
WFT,0.012302,0.12701,0.021569,0.021754,0.159645,0.021402,0.029692,0.020806,0.321843,0.333006,0.629067,0.085284,0.073946,0.013984,0.031035,0.022172,0.021616,0.039687,0.019128,0.020308,0.009461,0.053864
WFC,0.384155,0.181656,0.100176,0.100294,0.282187,0.100061,0.09419,0.10169,0.399775,0.339784,0.694651,0.141583,0.128015,0.006535,0.008248,0.099944,0.100465,0.090243,0.092157,0.006874,0.002582,0.042155
WR,0.007114,0.000619,0.075138,0.074756,0.242049,0.073286,0.068634,0.080311,0.394913,0.305088,0.671118,0.108696,0.09992,0.009232,0.010705,0.074087,0.074505,0.070847,0.067814,0.025828,0.003452,0.208431
WNR,0.005375,0.010946,0.073521,0.073849,0.180829,0.073414,0.074381,0.070212,0.361097,0.358955,0.696544,0.117057,0.112642,0.006441,0.005668,0.073639,0.073648,0.077892,0.06482,0.005259,0.001749,0.042155
WU,0.013122,0.053637,0.034004,0.034032,0.117013,0.033793,0.030982,0.033617,0.387491,0.333712,0.660724,0.105351,0.090246,0.005956,0.00718,0.033893,0.034093,0.029598,0.029721,0.006665,0.002224,0.327869
WY,0.025256,0.025768,0.065231,0.065237,0.15939,0.064849,0.061354,0.068654,0.388733,0.320054,0.682202,0.108138,0.093162,0.010162,0.014385,0.064907,0.065454,0.059473,0.055958,0.023328,0.002122,0.086651
WLL,0.005899,0.076214,0.064878,0.067441,0.301748,0.066734,0.104884,0.059979,0.137981,0.376087,0.67962,0.053512,0.049563,0.01282,0.005308,0.068016,0.066367,0.150399,0.049134,0.017322,0.002261,0.032787
WMB,0.048628,0.090956,0.08761,0.088609,0.171104,0.087611,0.092868,0.084043,0.333964,0.364213,0.675538,0.098105,0.084283,0.021105,0.03559,0.088076,0.088379,0.096458,0.080057,0.046553,0.003541,0.056206
WEC,0.015956,0.008033,0.096198,0.096127,0.21157,0.095285,0.087303,0.104541,0.41291,0.298506,0.675457,0.118172,0.105751,0.010006,0.012198,0.095281,0.095586,0.093595,0.085333,0.018173,0.003925,0.145199
WYN,0.01499,0.000413,0.165399,0.166464,0.166803,0.164135,0.14567,0.16258,0.469618,0.3716,0.695733,0.156076,0.140339,0.008987,0.011619,0.164513,0.165663,0.144541,0.139784,0.007238,0.004357,0.112412
XEL,0.024297,0.022341,0.066067,0.06583,0.214837,0.064703,0.060012,0.070145,0.395942,0.311399,0.666631,0.106466,0.097138,0.008886,0.010853,0.065236,0.06578,0.061605,0.059014,0.019527,0.003539,0.0726
XRX,0.020576,0.066252,0.025026,0.024958,0.156106,0.024806,0.024014,0.025907,0.376175,0.324876,0.650153,0.098105,0.083223,0.00639,0.008241,0.02486,0.025043,0.022569,0.021369,0.008644,0.00335,0.030445
XL,0.012448,0.019337,0.066383,0.066089,0.320113,0.065215,0.061209,0.067139,0.391774,0.330042,0.648558,0.13155,0.113968,0.005638,0.007161,0.065474,0.066013,0.05835,0.058199,0.017322,0.011004,0.053864
AUY,0.004691,0.155088,0.007349,0.007383,0.147931,0.00719,0.009846,0.007905,0.357063,0.322772,0.611292,0.085284,0.069706,0.015684,0.031756,0.007305,0.007184,0.016646,0.007008,0.022235,0.009461,0.016393
YGE,0.000537,0.008814,0.003873,0.003827,0.104682,0.003979,0.00485,0.003801,0.368096,0.326715,0.619497,0.076366,0.066128,0.01282,0.01569,0.003959,0.003869,0.010837,0.003769,0,0.009461,0.252927
YPF,0.013471,0.00744,0.046346,0.046885,0.217977,0.046291,0.055284,0.047045,0.315309,0.331755,0.677133,0.138239,0.113173,0.003984,0.004729,0.047279,0.046831,0.067121,0.042412,0.017322,0.001653,0.30445
YUM,0.044057,0.028983,0.137518,0.136981,0.123003,0.13671,0.130128,0.139383,0.400658,0.342902,0.670591,0.121516,0.121521,0.010101,0.013588,0.1367,0.136668,0.135201,0.13404,0.009685,0.006669,0.030445
